SA2_CODE21,SA2_NAME21,tree_count,tree_sum,tree_pc,uhi_mean
212041564,Dandenong - South,794820,65643,8.258851061,6.55471754
212041565,Keysborough - North,97547,9114,9.343188412,6.63221706
212041566,Keysborough - South,349786,41845,11.96302882,7.39629843
212051319,Ashwood - Chadstone,98928,42753,43.21627851,5.388089368
212051321,Glen Waverley - East,135140,63900,47.28429777,5.724110042
212051322,Glen Waverley - West,113195,46483,41.06453465,5.622516053
212051323,Mount Waverley - North,95599,48640,50.8791933,5.096794366
212051324,Mount Waverley - South,128325,55109,42.94486655,5.328445561
212051325,Mulgrave,158171,45751,28.92502418,6.09387651
212051326,Oakleigh - Huntingdale,150031,37362,24.90285341,5.485436761
212051327,Wheelers Hill,153982,81625,53.00944266,5.620739143
212051567,Clayton (North) - Notting Hill,77149,19356,25.08911327,5.57812551
212051568,Clayton - Central,61705,9707,15.73130216,5.997686591
213011328,Ardeer - Albion,67574,11974,17.71983307,6.484797558
213011329,Cairnlea,64876,10044,15.48184228,6.86406413
213011331,Delahey,51585,2574,4.989822623,7.262262407
213011332,Keilor Downs,112734,24912,22.09803608,6.496577663
213011333,Kings Park (Vic.),65239,5603,8.588421036,6.861229181
213011334,St Albans - North,96001,9512,9.908230123,6.179220558
213011335,St Albans - South,92237,7401,8.023894966,6.529516356
213011336,Sunshine,69693,13509,19.38358228,6.068320529
213011337,Sunshine North,118140,16116,13.64144236,6.507704355
213011338,Sunshine West,191054,17656,9.241366315,6.496298001
213011339,Sydenham,58084,5333,9.181530198,7.201567605
213011340,Taylors Lakes,271562,38365,14.12752889,7.593618556
213011569,Deer Park,118921,16989,14.28595454,7.323080669
213011570,Derrimut,195296,7892,4.041045388,5.814726302
213021341,Altona,260700,15619,5.991177599,5.156645402
213021342,Altona Meadows,155482,7940,5.106700454,5.491272496
213021343,Altona North,238522,19844,8.319568006,6.409020135
213021344,Newport,130295,15136,11.61671591,5.386150045
213021345,Seabrook,23888,1726,7.225385131,6.540367385
213021346,Williamstown,108325,6779,6.258019848,4.938140492
213031347,Braybrook,110240,15703,14.24437591,5.871491098
213031348,Footscray,73168,6155,8.412147387,5.882197918
213031349,Maribyrnong,80897,21215,26.22470549,5.70391775
213031350,Seddon - Kingsville,24753,1397,5.643760352,5.08027654
213031351,West Footscray - Tottenham,88107,7197,8.168476966,6.648374252
213031352,Yarraville,82803,9604,11.59861358,5.518735939
213041353,Bacchus Marsh,2885530,1211249,41.97665593,6.91934922
213041358,Melton West,355886,46891,13.17584845,9.012859314
213041359,Rockbank - Mount Cottrell,1851666,96941,5.235339419,8.683095075
213041360,Taylors Hill,87807,7253,8.260161491,7.195497703
213041461,Burnside,37558,4275,11.38239523,7.931005384
213041462,Burnside Heights,29361,3699,12.59834474,7.419656117
